Registro,Dispositivo,Fecha de nacimiento,Género,¿Qué tan satisfecho está con su vida actualmente?,¿Hasta qué punto siente que las cosas que hace en su vida diaria valen la pena?,"<b>Pensando en tu bienestar emocional, ¿qué tan feliz o ansioso(a) te sentiste ayer?</b>",<b>¿Qué aspecto cambiarías en Tuluá para mejorar tu bienestar y el de los demás?</b>,¿Mejorarías algo en tu Barrio?,¿En que barrio resides y que harías para mejorarlo?,Duración,Barrio,Mejora_barrio,Edad,Comuna
2024-10-23 19:00:18,phone,1976-03-08,female,8.0,10.0,Feliz,Más oportunidades para niños y jóvenes,SI,"Albernia, camaras de vigilancia",02:22,Alvernia,camaras de vigilancia,48,Comuna 2
2024-10-23 17:49:21,teléfono,1967-06-05,male,8.0,8.0,Feliz,La inseguridad,SI,"La herradura,  más iluminacion",01:15,La Herradura,más iluminacion,57,Comuna 6
2024-10-23 18:15:38,teléfono,1991-01-08,male,8.0,10.0,Feliz,"Traer inversión extranjera de empresas que generen oportunidades de empleo, y traería nuevas universidades para ampliar la oferta educativa en el municipio",SI,"Saman del norte, mejorar el acceso en las vias y un reordenamiento vial, es uno de los barrios con mayor accidentalidad del municipio",02:53,Samán del Norte,"mejorar el acceso en las vias y un reordenamiento vial, es uno de los s con mayor accidentalidad del municipio",33,Comuna 9
2024-10-23 18:56:06,teléfono,1997-07-30,female,6.0,4.0,Muy ansioso,"Muchas cosas, empezando por el orden público, lleno de policías y agentes de tránsito corrupto y tenemos un alcalde que se la pasa escondido por miedo.",SI,"Bosques de Maracaibo, la junta de acción comunal tiene el barrio un poco desamparado, está sucio y con basura",01:17,Bosques de Maracaibo,"la junta de acción comunal tiene el  un poco desamparado, está sucio y con basura",27,Comuna 8
2024-10-23 19:11:36,teléfono,1960-11-16,female,6.0,10.0,Feliz,La seguridad y los centros de salud,SI,"Villacampestre,  arreglar las calles",01:28,Villa Campestre,arreglar las calles,63,Comuna 1
2024-10-23 19:13:14,teléfono,1985-08-31,female,2.0,2.0,Muy ansioso,"Una ciudad con oportunidad laboral, una ciudad tranquila sin violencia sin el miedo constante de salir a la calle y encontrarte con que te asalten o con la muerte, he sido víctima en varias ocasiones de asaltos y eso me dejó traumatizada",SI,"Fátima, poner cámaras y alarmas comunitarias y mas iluminación",02:27,Fátima,poner cámaras y alarmas comunitarias y mas iluminación,39,Comuna 1
2024-10-23 19:16:26,teléfono,1951-10-15,female,10.0,,Feliz,La inseguridad mediante las  vacunas  de los grupos terroristas.,NO,Victoria,02:47,Victoria,,73,Comuna 1
2024-10-23 19:39:50,teléfono,1980-02-12,female,9.0,9.0,Neutral,La inseguridad,NO,Lomitas,01:26,Urbanización Lomitas,,44,Comuna 1
2024-10-23 20:40:59,teléfono,1996-02-09,male,0.0,5.0,Muy ansioso,"Trabajo, mucho trabajo para las juventudes",SI,"La iluminación, lla pavimentación de las carreteras y la seguridad",01:17,La Paz,"minación, lla pavimentación de las carreteras y la seguridad",28,Comuna 10
2024-10-23 20:57:04,teléfono,1976-05-30,female,8.0,8.0,Feliz,La seguridad.para la smineres y niñas..,SI,Villa del sur..más brigadas de salud y cine al  parque.,02:25,Villa del Sur,más brigadas de salud y cine al  parque,48,Comuna 7
2024-10-23 23:38:17,teléfono,1988-05-29,female,7.0,8.0,Feliz,Bajar índices de inseguridad y sicariato,SI,Las Américas - más unión entre vecinos,01:11,Las Américas,más unión entre vecinos,36,Comuna 7
2024-10-24 04:47:42,teléfono,1986-11-22,female,7.0,10.0,Feliz,Seguridad,NO,"Popular, seguridad",01:02,Popular,seguridad,37,Comuna 3
2024-10-24 06:17:25,teléfono,1979-01-26,male,9.0,9.0,Feliz,"Ejecutar el POT, aplicar urbanismo y paisajismo intenso para darle una cara más fresca y moderna a Tuluá,. Promover leyes para Limpiar las fachadas de establecimientos comerciales y casas. Controlar y reducir al mínimo la mendicidad foránea y los habitantes de calle. Mejorar vías pruncipal",SI,"Centro/Salesianos- Mejorar las luminarias, públicas desplazar la mendicidad y habitantes de calle",19:46,Salesiano,"lesianos- mejorar las luminarias, públicas desplazar la mendicidad y habitantes de calle",45,Comuna 5
2024-10-24 06:41:54,teléfono,1970-02-03,female,10.0,9.0,Feliz,Que el estado se preocupe por combatir la drogadicción y generar espacios para los jóvenes,NO,San Vicente  Mejoraría que tengan control con los habitantes de calle que no hagan sus necesidades en los andenes,02:37,,san vicente  mejoraría que tengan control con los habitantes de calle que no hagan sus necesidades en los andenes,54,
2024-10-24 09:39:39,teléfono,1996-08-09,female,8.0,10.0,Feliz,La seguridad,SI,"El Bosque, campañas educativas y programas sociales.",00:51,El Bosque,campañas educativas y programas sociales,28,Comuna 3
